district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
04,03,05,18,9581,100.0,4382,45.7,6959,72.6,5199,54.3,1760,18.4,2622,27.4
04,03,05,19,5829,100.0,2671,45.8,4247,72.9,3158,54.2,1089,18.7,1582,27.1
04,03,06,20,8949,100.0,4027,45.0,6569,73.4,4922,55.0,1647,18.4,2380,26.6
04,03,06,21,3074,100.0,1778,57.8,1962,63.8,1296,42.2,666,21.7,1112,36.2
04,03,06,22,10873,100.0,5223,48.0,7808,71.8,5650,52.0,2158,19.8,3065,28.2
04,03,06,23,5068,100.0,2896,57.1,3400,67.1,2172,42.9,1228,24.2,1668,32.9
04,03,07,24,6543,100.0,2521,38.5,5014,76.6,4022,61.5,992,15.2,1529,23.4
04,03,07,25,12453,100.0,5189,41.7,9108,73.1,7264,58.3,1844,14.8,3345,26.9
04,03,07,26,5749,100.0,2599,45.2,4126,71.8,3150,54.8,976,17.0,1623,28.2
04,03,08,27,12270,100.0,6704,54.6,7908,64.4,5566,45.4,2342,19.1,4362,35.6
04,03,08,28,9683,100.0,4479,46.3,6758,69.8,5204,53.7,1554,16.0,2925,30.2
04,03,09,29,6025,100.0,2641,43.8,4408,73.2,3384,56.2,1024,17.0,1617,26.8
04,03,09,30,5797,100.0,2736,47.2,4053,69.9,3061,52.8,992,17.1,1744,30.1
04,03,09,31,3725,100.0,2145,57.6,2253,60.5,1580,42.4,673,18.1,1472,39.5
04,03,10,32,15704,100.0,6829,43.5,11580,73.7,8875,56.5,2705,17.2,4124,26.3
04,04,11,33,68,100.0,40,58.8,35,51.5,28,41.2,7,10.3,33,48.5
04,04,11,34,5247,100.0,2112,40.3,4113,78.4,3135,59.7,978,18.6,1134,21.6
04,04,11,35,2832,100.0,1055,37.3,2267,80.0,1777,62.7,490,17.3,565,20.0
04,04,11,36,3104,100.0,1138,36.7,2486,80.1,1966,63.3,520,16.8,618,19.9
04,04,11,37,8300,100.0,3201,38.6,6563,79.1,5099,61.4,1464,17.6,1737,20.9
04,04,12,38,6116,100.0,2180,35.6,5069,82.9,3936,64.4,1133,18.5,1047,17.1
04,04,12,39,333,100.0,256,76.9,105,31.5,77,23.1,28,8.4,228,68.5
04,04,12,40,1551,100.0,436,28.1,1321,85.2,1115,71.9,206,13.3,230,14.8
04,04,12,41,7026,100.0,1794,25.5,6054,86.2,5232,74.5,822,11.7,972,13.8
04,04,13,42,4148,100.0,1436,34.6,3381,81.5,2712,65.4,669,16.1,767,18.5
04,04,13,43,3567,100.0,1126,31.6,2988,83.8,2441,68.4,547,15.3,579,16.2
04,04,13,44,10800,100.0,3028,28.0,9053,83.8,7772,72.0,1281,11.9,1747,16.2
04,05,14,45,6354,100.0,2786,43.8,4854,76.4,3568,56.2,1286,20.2,1500,23.6
04,05,14,46,10866,100.0,4834,44.5,8064,74.2,6032,55.5,2032,18.7,2802,25.8
04,05,14,47,5354,100.0,2271,42.4,4024,75.2,3083,57.6,941,17.6,1330,24.8
04,05,14,48,9480,100.0,4577,48.3,6549,69.1,4903,51.7,1646,17.4,2931,30.9
04,05,15,49,4660,100.0,2039,43.8,3383,72.6,2621,56.2,762,16.4,1277,27.4
04,05,15,50,5598,100.0,2378,42.5,4166,74.4,3220,57.5,946,16.9,1432,25.6
04,05,15,51,4523,100.0,1973,43.6,3378,74.7,2550,56.4,828,18.3,1145,25.3
04,05,16,52,9933,100.0,4005,40.3,7429,74.8,5928,59.7,1501,15.1,2504,25.2
04,05,16,53,7029,100.0,3042,43.3,5185,73.8,3987,56.7,1198,17.0,1844,26.2
04,05,16,54,3048,100.0,1108,36.4,2397,78.6,1940,63.6,457,15.0,651,21.4
04,05,16,55,7418,100.0,3247,43.8,5492,74.0,4171,56.2,1321,17.8,1926,26.0
04,05,16,56,7717,100.0,2543,33.0,6218,80.6,5174,67.0,1044,13.5,1499,19.4
04,06,17,57,67,100.0,15,22.4,55,82.1,52,77.6,3,4.5,12,17.9
05,01,01,01,10509,100.0,3021,28.7,9030,85.9,7488,71.3,1542,14.7,1479,14.1
05,01,01,02,8096,100.0,2811,34.7,6343,78.3,5285,65.3,1058,13.1,1753,21.7
05,01,01,03,7648,100.0,1461,19.1,6966,91.1,6187,80.9,779,10.2,682,8.9
05,01,02,04,3604,100.0,1585,44.0,2712,75.2,2019,56.0,693,19.2,892,24.8
05,01,02,05,2132,100.0,623,29.2,1878,88.1,1509,70.8,369,17.3,254,11.9
